user_address,amount
0x1f9f14934c885122d247eaf9987423970d5419d4,1
0x25ced19afd2954011fcdc8eacbe0c42a5af1306b,1
0x25695d59a687ad069ecc9de62facda1fb88ca3e6,1
0xcb476bdc1180ec6d01d5268922d3e433d048d5bf,1
0x6eaf3d824e1d9bb413f9bafc934ac310133c9411,1
0x52398fd08c0bccf7885cb70724a6d58ab0820651,1
0x76359dca3a405e708e9db81421b4b5866a10385b,1
0x7cf78faee47c96a6328f88a0cd374cd7c2491abd,1
0xe4f9379f1a077361cd0cfdce66da9c4397409390,1
0x23c6d87ee37bbe70079f82e72203b1e07c0c185c,1
0x5376a19494481409fd15cadf3ca7c2fc6cc50929,1